Song Name 	 Artist Name 	 Genres 	 Acousticness 	 Danceability 	 Energy 	Instrumentalness 	 Liveness 	 Speechiness 
Trouble	Coldplay	permanent wave,pop,pop christmas	0.189	0.561	0.547	0.00157	0.17	0.0321	
You See Me	Childish Gambino	indie r&b,pop rap,rap	0.0528	0.643	0.813	0	0.082	0.531	
Backpackers	Childish Gambino	indie r&b,pop rap,rap	0.282	0.542	0.863	0	0.0792	0.441	
Disparate Youth	Santigold	alternative dance,dance-punk,escape room,folk-pop,hip pop,indie pop,indie r&b,indietronica,new rave,pop,synthpop	0.0124	0.633	0.926	0.689	0.156	0.0404	
Genesis	Justice	alternative dance,dance-punk,electro house,electronic,filter house,indietronica,new rave	0.0202	0.712	0.788	0.329	0.0978	0.362	
Sweet Nothing	Calvin Harris	edm,electro house,house,pop,progressive house	0.197	0.573	0.929	0.000112	0.0567	0.109	
Know You	Bonobo	downtempo,electronic,indie r&b,indietronica,ninja,nu jazz,trip hop	0.047	0.734	0.702	0.669	0.179	0.0409	
First Fires	Bonobo	downtempo,electronic,indie r&b,indietronica,ninja,nu jazz,trip hop	0.385	0.606	0.408	0.29	0.437	0.0362	
Ten Tigers	Bonobo	downtempo,electronic,indie r&b,indietronica,ninja,nu jazz,trip hop	0.152	0.711	0.836	0.636	0.157	0.0452	
Second Chance	Peter Bjorn and John	alternative dance,dance-punk,garage rock,indie pop,indie rock,indietronica,modern rock,neo-psychedelic,new rave,swedish alternative rock,swedish indie rock,synthpop	0.0177	0.597	0.964	0.00249	0.0697	0.0849	
Can't Hold Us (feat. Ray Dalton)	Macklemore & Ryan Lewis	pop,pop rap	0.027	0.634	0.927	0	0.0986	0.0838	
LES	Childish Gambino	indie r&b,pop rap,rap	0.00666	0.526	0.685	0.000196	0.202	0.112	
Naval	Yann Tiersen	bow pop,classify,compositional ambient,minimal,soundtrack	0.977	0.356	0.163	0.921	0.107	0.0377	
Dernière	Yann Tiersen	bow pop,classify,compositional ambient,minimal,soundtrack	0.988	0.279	0.226	0.916	0.124	0.0314	
Bonfire	Childish Gambino	indie r&b,pop rap,rap	0.0635	0.502	0.756	0	0.359	0.309	
Doin' it Right	Daft Punk	electro,electronic,filter house	0.388	0.804	0.451	2.17e-05	0.0924	0.0949	
Motherboard	Daft Punk	electro,electronic,filter house	0.512	0.548	0.707	0.922	0.105	0.0352	
She Summons Demons	Lost Idol	none 	0.196	0.546	0.945	0.95	0.683	0.0401	
Coastal Brake	Tycho	chillwave,downtempo,electronic,indietronica,intelligent dance music	0.175	0.598	0.813	0.979	0.108	0.0428	
Fitzpleasure	alt-J	indie rock,modern rock	0.134	0.582	0.604	0.000957	0.102	0.0493	
Intro	alt-J	indie rock,modern rock	0.444	0.583	0.8	0.843	0.201	0.0349	
Dark Star	Beck	alternative rock,anti-folk,blues-rock,electronic,folk christmas,garage rock,indie christmas,indie rock,modern rock,neo-psychedelic,permanent wave,pop rock,rock	0.0231	0.651	0.493	0.802	0.0767	0.103	
Two Weeks	Grizzly Bear	alternative dance,alternative rock,brooklyn indie,chamber pop,chillwave,dance-punk,folk-pop,freak folk,indie folk,indie pop,indie r&b,indie rock,indietronica,lo-fi,modern rock,neo-psychedelic,new rave,new weird america,noise pop,shimmer pop,stomp and holler	0.289	0.537	0.712	0.00568	0.08	0.0286	
Druggys Wit Hoes Again (feat. Ab Soul)	ScHoolboy Q	gangster rap,hip hop,pop rap,rap,southern hip hop,trap music,underground hip hop	0.0332	0.824	0.573	0	0.0858	0.257	
Ash/Black Veil	Apparat	alternative dance,electronic,glitch,indietronica,microhouse,minimal techno,new rave,trip hop	0.622	0.487	0.865	0.841	0.138	0.0367	
I Want You	Common	alternative hip hop,dirty south rap,gangster rap,hardcore hip hop,hip hop,indie r&b,neo soul,pop rap,rap,southern hip hop	0.0967	0.804	0.625	0.000915	0.54	0.198	
Lines	Big Boi	alternative hip hop,crunk,dirty south rap,escape room,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop,trap music,underground hip hop	0.0695	0.626	0.65	0	0.231	0.17	
Became	Atmosphere	alternative hip hop,hip hop,pop rap	0.263	0.689	0.766	2.82e-06	0.0783	0.313	
Grown Up	Danny Brown	alternative hip hop,detroit hip hop,escape room,hip hop,indie r&b,pop rap,rap,southern hip hop,underground hip hop	0.132	0.635	0.766	0	0.122	0.26	
Tamacún	Rodrigo y Gabriela	flamenco,world	0.797	0.596	0.904	0.823	0.1	0.0352	
Nightcall	Kavinsky	alternative dance,electronic,filter house,indietronica,new rave,retro electro	0.0113	0.535	0.857	0.00751	0.472	0.0543	
LVL	A$AP Rocky	east coast hip hop,pop rap,rap,trap music	0.202	0.613	0.427	1.61e-05	0.122	0.0585	
Yet Again	Grizzly Bear	alternative dance,alternative rock,brooklyn indie,chamber pop,chillwave,dance-punk,folk-pop,freak folk,indie folk,indie pop,indie r&b,indie rock,indietronica,lo-fi,modern rock,neo-psychedelic,new rave,new weird america,noise pop,shimmer pop,stomp and holler	0.00345	0.472	0.875	0.00576	0.128	0.0446	
Hey Ya - live	Obadiah Parker	viral pop	0.587	0.579	0.485	0	0.118	0.0297	
Devil May Care	Jamie Cullum	adult standards,neo mellow,pop christmas,vocal jazz	0.458	0.71	0.299	1.33e-05	0.0547	0.0628	
Gran Torino	Jamie Cullum	adult standards,neo mellow,pop christmas,vocal jazz	0.968	0.4	0.205	0	0.136	0.038	
Dance	Rebecca & Fiona	deep swedish indie pop,edm,swedish idol pop,swedish indie pop,swedish indie rock,swedish pop	0.0539	0.638	0.822	0.303	0.114	0.0535	
Of The Soul	Mac Miller	hip hop,pop rap,rap,southern hip hop,trap music,underground hip hop	0.643	0.621	0.699	0	0.0593	0.298	
Glitter	Ghostland Observatory	alternative dance,dance-punk,indietronica,new rave	0.0138	0.866	0.661	0.00496	0.113	0.431	
The Rundown (feat. Dice)	Sol	deep underground hip hop,underground pop rap	0.505	0.802	0.787	4.19e-05	0.105	0.0993	
The Electric Dream - Original Mix	Mord Fustang	catstep,complextro,edm,electro house	1.27e-05	0.873	0.535	0.917	0.0588	0.0444	
Holy Grail	JAY Z	east coast hip hop,hip hop,pop rap,rap,southern hip hop,trap music	0.0635	0.685	0.539	8.12e-06	0.249	0.0908	
Tom Ford	JAY Z	east coast hip hop,hip hop,pop rap,rap,southern hip hop,trap music	0.0625	0.854	0.703	1.2e-05	0.56	0.313	
Royals	Lorde	dance pop,metropopolis,pop,post-teen pop	0.0961	0.625	0.433	0	0.134	0.139	
BBC	JAY Z	east coast hip hop,hip hop,pop rap,rap,southern hip hop,trap music	0.0945	0.804	0.784	0	0.179	0.158	
Do Or Die (feat. Childish Gambino)	Flux Pavilion	bass trap,brostep,catstep,dubstep,edm,electro house,electronic trap,moombahton	0.000242	0.624	0.83	1.4e-05	0.306	0.121	
Afraid	The Neighbourhood	indie pop,indietronica,modern rock,pop,shimmer pop	0.00892	0.464	0.701	0.309	0.335	0.0411	
French Inhale - feat. Mike Posner	Snoop Dogg	g funk,gangster rap,hip hop,pop christmas,pop rap,rap,southern hip hop,west coast rap	0.137	0.634	0.862	0	0.119	0.132	
Donald Trump	Mac Miller	hip hop,pop rap,rap,southern hip hop,trap music,underground hip hop	0.119	0.636	0.901	0	0.391	0.118	
Otis	JAY Z	east coast hip hop,hip hop,pop rap,rap,southern hip hop,trap music	0.552	0.755	0.631	0	0.5	0.302	
Frick Park Market	Mac Miller	hip hop,pop rap,rap,southern hip hop,trap music,underground hip hop	0.0225	0.593	0.809	0	0.293	0.0597	
Blue Slide Park	Mac Miller	hip hop,pop rap,rap,southern hip hop,trap music,underground hip hop	0.0571	0.626	0.858	0	0.276	0.283	
Missed Calls	Mac Miller	hip hop,pop rap,rap,southern hip hop,trap music,underground hip hop	0.643	0.558	0.535	0	0.101	0.162	
One Last Thing	Mac Miller	hip hop,pop rap,rap,southern hip hop,trap music,underground hip hop	0.54	0.384	0.767	1.03e-06	0.135	0.0938	
I Don't Trust Myself (With Loving You) - Live at the Nokia Theatre	John Mayer	neo mellow,pop,pop rock,singer-songwriter	0.441	0.62	0.487	0.00571	0.942	0.0346	
Breathe	Télépopmusik	acid jazz,downtempo,electronic,nu jazz,trip hop	0.421	0.687	0.646	0.41	0.362	0.0462	
I Remember	Haley	none 	0.605	0.299	0.493	1.95e-06	0.124	0.0362	
Young Love (feat. Laura Marling)	Mystery Jets	alt-indie rock,alternative dance,britpop,dance-punk,garage rock,indie rock,indietronica,modern rock,new rave	0.141	0.63	0.942	2.12e-06	0.0958	0.0869	
Katachi	Shugo Tokumaru	j-ambient,j-dance,shibuya-kei	0.111	0.463	0.684	0.444	0.0862	0.0438	
Hail Bop	Django Django	alternative dance,dance-punk,indie rock,indietronica,new rave,shimmer pop	0.0129	0.615	0.751	0.592	0.24	0.0321	
White Noise	Disclosure	house,pop,tropical house	0.00963	0.667	0.848	0.000213	0.317	0.05	
Latch	Disclosure	house,pop,tropical house	0.0151	0.502	0.732	0.000119	0.0897	0.168	
When A Fire Starts To Burn	Disclosure	house,pop,tropical house	0.00975	0.867	0.746	0.000879	0.238	0.208	
Great Escape	Washed Out	alternative dance,chillwave,dream pop,freak folk,indie folk,indie pop,indie psych-rock,indie r&b,indie rock,indietronica,modern rock,neo-psychedelic,new rave,noise pop,nu gaze,shimmer pop,synthpop,vapor soul	0.317	0.198	0.758	0.287	0.142	0.118	
Life's a Beach	Django Django	alternative dance,dance-punk,indie rock,indietronica,new rave,shimmer pop	0.108	0.517	0.85	0.00212	0.129	0.0385	
The Heart Asks Pleasure First/The Promise - Edit	Michael Nyman	bow pop,compositional ambient,experimental,fourth world,minimal,modern classical,soundtrack	0.961	0.208	0.276	0.92	0.129	0.0293	
The 2nd Law: Isolated System	Muse	alternative metal,alternative rock,garage rock,indie rock,modern rock,permanent wave,piano rock,post-grunge,rock	0.678	0.471	0.509	0.936	0.175	0.0367	
Daylight	Coldplay	permanent wave,pop,pop christmas	0.00975	0.461	0.571	0.508	0.0846	0.0301	
New Theory	Washed Out	alternative dance,chillwave,dream pop,freak folk,indie folk,indie pop,indie psych-rock,indie r&b,indie rock,indietronica,modern rock,neo-psychedelic,new rave,noise pop,nu gaze,shimmer pop,synthpop,vapor soul	0.0505	0.549	0.865	0.189	0.147	0.0523	
X & Y	Coldplay	permanent wave,pop,pop christmas	0.557	0.314	0.563	0.00811	0.366	0.033	
All I Know	Washed Out	alternative dance,chillwave,dream pop,freak folk,indie folk,indie pop,indie psych-rock,indie r&b,indie rock,indietronica,modern rock,neo-psychedelic,new rave,noise pop,nu gaze,shimmer pop,synthpop,vapor soul	0.0299	0.357	0.774	0.661	0.119	0.0602	
MakeDamnSure	Taking Back Sunday	emo,modern rock,pop punk,pop rock,post-grunge,screamo	0.00941	0.553	0.837	0	0.372	0.0452	
N.Y. State of Mind	Nas	dirty south rap,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.0326	0.707	0.787	0	0.15	0.229	
Party And Bulls**t	The Notorious B.I.G.	east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.193	0.433	0.862	0	0.604	0.412	
6 Underground	Sneaker Pimps	alternative dance,electroclash,electronic,trip hop	0.155	0.467	0.693	0.154	0.115	0.0368	
Hell Of A Life	Kanye West	pop,pop christmas,pop rap,rap	0.00136	0.436	0.817	0.000199	0.106	0.18	
Lazarus	Circa Survive	alternative emo,dreamo,emo,modern rock,pop punk,progressive post-hardcore,screamo	4.92e-05	0.336	0.679	0.184	0.139	0.0357	
Can't Fool Me	Bad Rabbits	boston rock	0.00306	0.7	0.608	0	0.0943	0.0338	
Nightlite	Bonobo	downtempo,electronic,indie r&b,indietronica,ninja,nu jazz,trip hop	0.529	0.549	0.588	0.9	0.0877	0.0294	
Melody Day - Four Tet Remix	Caribou	alternative dance,chamber pop,chamber psych,chillwave,dance-punk,dream pop,electronic,freak folk,indie pop,indie r&b,indie rock,indietronica,modern rock,neo-psychedelic,new rave,synthpop,trip hop	0.71	0.48	0.479	0.448	0.0899	0.03	
Iron	Woodkid	chamber pop	0.107	0.656	0.778	0.743	0.176	0.0592	
Atmosphere (Radio Edit)	Kaskade	big room,brostep,chicago house,edm,electro house,electronic trap,house,progressive electro house,progressive house,tropical house,vocal house	0.0215	0.589	0.76	3.85e-06	0.074	0.0403	
Lifesaver - Original Version	Emilíana Torrini	chamber pop,folk-pop,icelandic pop,trip hop	0.875	0.513	0.364	0.0035	0.0714	0.0319	
H.O.C	Kendrick Lamar	hip hop,pop rap,rap,west coast rap	0.105	0.613	0.591	0	0.191	0.391	
The Lottery	Circa Survive	alternative emo,dreamo,emo,modern rock,pop punk,progressive post-hardcore,screamo	2.19e-06	0.358	0.935	0.81	0.134	0.0784	
Think of Me When They Sound	Circa Survive	alternative emo,dreamo,emo,modern rock,pop punk,progressive post-hardcore,screamo	0.833	0.165	0.299	0.0269	0.122	0.0322	
In the Grace of Your Love	The Rapture	alternative dance,alternative rock,dance-punk,electroclash,electronic,garage rock,indie pop,indie rock,indietronica,modern rock,neo-psychedelic,new rave,synthpop	0.0663	0.463	0.72	0	0.0918	0.045	
Take Me Into Your Skin - Original Mix	Trentemøller	alternative dance,danish pop,electronic,microhouse,minimal techno,trip hop	0.0517	0.602	0.418	0.871	0.104	0.0381	
Growing Apart (To Get Closer)	Kendrick Lamar	hip hop,pop rap,rap,west coast rap	0.368	0.586	0.533	0	0.175	0.366	
This Is What It Feels Like	Banks	alternative r&b,deep indie r&b,indie poptimism,indie r&b,indietronica,pop,tropical house,vapor soul	0.204	0.455	0.485	0.0861	0.14	0.0357	
Lose Yourself to Dance	Daft Punk	electro,electronic,filter house	0.0839	0.832	0.659	0.00114	0.0753	0.057	
Hold On, We're Going Home	Drake	canadian pop,hip hop,pop rap,rap	0.00349	0.772	0.407	2.4e-05	0.0705	0.0907	
D. Song	Yppah	chillstep,chillwave,electronic,intelligent dance music,ninja,nu jazz,trip hop,wonky	0.0251	0.504	0.896	0.656	0.105	0.0378	
Blue Schwinn	Yppah	chillstep,chillwave,electronic,intelligent dance music,ninja,nu jazz,trip hop,wonky	0.000433	0.469	0.968	0.864	0.307	0.06	
Runaway	Mr Little Jeans	chillwave,indie pop,indie poptimism,indie psych-rock,indie r&b,indietronica,shimmer pop,synthpop,vapor soul	0.0282	0.539	0.791	0.017	0.216	0.0702	
The Suburbs	Mr Little Jeans	chillwave,indie pop,indie poptimism,indie psych-rock,indie r&b,indietronica,shimmer pop,synthpop,vapor soul	0.164	0.365	0.551	0.0108	0.109	0.0774	
Near Death Experience Experience	Andrew Bird	alternative rock,anti-folk,chamber pop,chicago indie,folk christmas,folk-pop,freak folk,indie christmas,indie folk,indie pop,indie rock,melancholia,modern rock,neo-psychedelic,new americana,shimmer pop,singer-songwriter,stomp and holler	0.473	0.843	0.75	0.0323	0.106	0.0371	
Desperation Breeds ...	Andrew Bird	alternative rock,anti-folk,chamber pop,chicago indie,folk christmas,folk-pop,freak folk,indie christmas,indie folk,indie pop,indie rock,melancholia,modern rock,neo-psychedelic,new americana,shimmer pop,singer-songwriter,stomp and holler	0.631	0.521	0.489	0.404	0.234	0.0432	
Boy With a Coin	Iron & Wine	acoustic pop,chamber pop,folk-pop,indie folk,indie pop,indie rock,modern rock,neo mellow,new americana,singer-songwriter,stomp and holler	0.123	0.66	0.566	0.795	0.122	0.0293	
Gold Lion	Yeah Yeah Yeahs	alternative dance,alternative rock,brooklyn indie,dance-punk,garage rock,indie pop,indie rock,indietronica,modern rock,neo-psychedelic,new rave,synthpop	0.0216	0.518	0.846	2.16e-05	0.0871	0.07	
Cut to Black	Lemaitre	alternative dance,norwegian indie,norwegian pop,tropical house	0.0493	0.625	0.546	0.0337	0.263	0.0932	
All You Need Is Love	Avicii	big room,dance pop,edm,pop,tropical house	0.0354	0.767	0.425	0.0364	0.0437	0.103	
Sparks (Turn Off Your Mind) - Atmozfears & Audiotricz Radio Mix	Fedde Le Grand	big room,deep big room,disco house,dutch house,edm,electro house,house,progressive electro house,progressive house,sky room,tropical house,vocal house	0.0019	0.418	0.872	0.000158	0.127	0.0336	
Hope There's Someone	Avicii	big room,dance pop,edm,pop,tropical house	0.0158	0.4	0.717	0.00364	0.0797	0.0474	
Cut You Off (To Grow Closer)	Kendrick Lamar	hip hop,pop rap,rap,west coast rap	0.077	0.685	0.681	0	0.129	0.481	
Hurricane	MS MR	indie poptimism,indie r&b,indietronica,metropopolis,pop,shimmer pop,shiver pop,synthpop,tropical house	0.231	0.564	0.68	0.000179	0.247	0.0357	
BTSK	MS MR	indie poptimism,indie r&b,indietronica,metropopolis,pop,shimmer pop,shiver pop,synthpop,tropical house	0.272	0.615	0.474	0.0912	0.237	0.0254	
Strings	MS MR	indie poptimism,indie r&b,indietronica,metropopolis,pop,shimmer pop,shiver pop,synthpop,tropical house	0.869	0.538	0.147	0.00636	0.118	0.0359	
You Make Me	Avicii	big room,dance pop,edm,pop,tropical house	0.00219	0.582	0.738	0.0083	0.149	0.0408	
Sceptics - Club Mix	Lemaitre	alternative dance,norwegian indie,norwegian pop,tropical house	0.0165	0.618	0.592	0.00134	0.0729	0.0805	
Illmerica	Wolfgang Gartner	big room,brostep,catstep,complextro,deep big room,edm,electro house,electronic trap,house,moombahton,progressive electro house,progressive house	0.000424	0.63	0.727	0.00957	0.331	0.0477	
Starry Eyed	Ellie Goulding	dance pop,metropopolis,neo mellow,pop,post-teen pop,tropical house	0.135	0.513	0.822	7.2e-06	0.194	0.035	
The Night Out - A-Trak Remix	Martin Solveig	big room,dance pop,disco house,edm,electro house,filter house,house,pop,tropical house,vocal house	0.0192	0.766	0.955	0.212	0.307	0.203	
Finally - Mord Fustang Remix	FROIDZ	complextro	9.44e-05	0.72	0.886	0.0376	0.094	0.212	
Do I Wanna Know?	Arctic Monkeys	garage rock,indie rock,modern rock,permanent wave,sheffield indie	0.186	0.548	0.532	0.000263	0.217	0.0323	
Never Never	SBTRKT	alternative dance,bass music,chillwave,deep indie r&b,escape room,future garage,indie r&b,indietronica,neo soul,new rave,uk garage	0.174	0.671	0.604	0.000929	0.0961	0.146	
Real	Kendrick Lamar	hip hop,pop rap,rap,west coast rap	0.0269	0.644	0.46	0	0.687	0.21	
Adolescents	Incubus	alternative metal,alternative rock,funk metal,funk rock,heavy christmas,modern rock,nu metal,pop christmas,pop rock,post-grunge,rap metal,rock	0.0567	0.525	0.758	0.00264	0.0944	0.0323	
Siren - Radio Edit	Kat Krazy	none 	0.0896	0.596	0.853	0	0.122	0.0872	
Teardrop	Massive Attack	big beat,downtempo,electronic,nu jazz,trip hop	0.0173	0.615	0.419	0.497	0.135	0.0395	
Grounds for Divorce	Elbow	britpop,chamber pop,indie rock,madchester,modern rock	0.456	0.524	0.77	3.76e-06	0.436	0.0266	
Mirrorball	Elbow	britpop,chamber pop,indie rock,madchester,modern rock	0.293	0.584	0.652	0.000588	0.0891	0.0288	
The Bones of You	Elbow	britpop,chamber pop,indie rock,madchester,modern rock	0.17	0.603	0.765	0	0.312	0.0461	
Mouthful of Diamonds	Phantogram	alternative dance,chillwave,indie pop,indie r&b,indie rock,indietronica,metropopolis,modern rock,new rave,shimmer pop,synthpop	0.135	0.613	0.814	0.678	0.116	0.029	
Strangers	Portishead	alternative rock,electronic,laboratorio,trip hop	0.0314	0.648	0.636	0.206	0.167	0.0412	
Black Out Days	Phantogram	alternative dance,chillwave,indie pop,indie r&b,indie rock,indietronica,metropopolis,modern rock,new rave,shimmer pop,synthpop	0.00471	0.545	0.79	0.0203	0.0925	0.0375	
Don't Move	Phantogram	alternative dance,chillwave,indie pop,indie r&b,indie rock,indietronica,metropopolis,modern rock,new rave,shimmer pop,synthpop	7.19e-05	0.558	0.642	0.00746	0.201	0.0321	
All Yours - Original Mix	Submotion Orchestra	bass music,future garage,indie jazz,ninja,substep	0.609	0.277	0.378	0.0105	0.137	0.0372	
Rolling Stone	Black Hippy	soul flow,underground hip hop	0.0188	0.916	0.472	0	0.167	0.0712	
Paradise Circus - Gui Boratto Remix	Massive Attack	big beat,downtempo,electronic,nu jazz,trip hop	0.162	0.836	0.811	0.814	0.0818	0.0515	
II. shadows	Childish Gambino	indie r&b,pop rap,rap	0.0844	0.613	0.728	0.0258	0.334	0.2	
IV. sweatpants	Childish Gambino	indie r&b,pop rap,rap	0.172	0.7	0.46	0	0.636	0.166	
I. the party	Childish Gambino	indie r&b,pop rap,rap	0.175	0.565	0.554	0.00286	0.137	0.331	
I. flight of the navigator	Childish Gambino	indie r&b,pop rap,rap	0.0688	0.483	0.655	0.112	0.129	0.0373	
I. pink toes (feat. Jhene Aiko)	Childish Gambino	indie r&b,pop rap,rap	0.0573	0.387	0.616	0.000115	0.567	0.0904	
Say My Name (Radio Edit)	Porter Robinson	big room,brostep,catstep,complextro,edm,electro house,electronic trap,progressive electro house,tropical house	0.000261	0.604	0.931	0.702	0.172	0.0616	
Lotus Flower	Radiohead	alternative rock,indie rock,melancholia,modern rock,permanent wave,rock	0.0904	0.725	0.686	0.449	0.0818	0.0316	
I. crawl	Childish Gambino	indie r&b,pop rap,rap	0.037	0.429	0.529	3e-06	0.102	0.0445	
Sleepless feat. Jezzabell Doran	Flume	aussietronica,australian alternative rock,australian dance,downtempo,tropical house	0.0335	0.53	0.688	4.91e-05	0.0886	0.169	
Fields	xxyyxx	chillwave,indietronica,wonky	5.43e-05	0.523	0.739	0.00582	0.301	0.0749	
Hyperparadise - Flume Remix	Flume	aussietronica,australian alternative rock,australian dance,downtempo,tropical house	0.0597	0.584	0.838	0.38	0.086	0.0906	
January	Disclosure	house,pop,tropical house	0.0618	0.821	0.63	2.81e-06	0.0598	0.13	
Help Me Lose My Mind	Disclosure	house,pop,tropical house	0.0415	0.764	0.707	0.0579	0.0573	0.0595	
Boy Oh Boy	Diplo	bmore,brostep,edm,electro house,electronic trap,moombahton,ninja	0.00224	0.539	0.954	0.835	0.0623	0.12	
Elektricity Will Keep Me Warm	London Elektricity	big beat,drum and bass,jump up,jungle,liquid funk,neurofunk	0.123	0.658	0.736	0.0484	0.0689	0.054	
Defeated No More	Disclosure	house,pop,tropical house	0.00586	0.759	0.762	0	0.338	0.289	
Left Alone - Ta-Ku Remix	Flume	aussietronica,australian alternative rock,australian dance,downtempo,tropical house	0.0341	0.615	0.796	0.838	0.91	0.14	
On Top (feat. T.Shirt)	Flume	aussietronica,australian alternative rock,australian dance,downtempo,tropical house	0.00807	0.433	0.756	2.77e-05	0.135	0.277	
Left Alone feat. Chet Faker	Flume	aussietronica,australian alternative rock,australian dance,downtempo,tropical house	0.083	0.488	0.606	0	0.102	0.027	
Kashmir	Led Zeppelin	album rock,alternative rock,british blues,classic rock,hard rock,rock	0.452	0.483	0.615	0.000414	0.0512	0.0497	
Revelry	Kings of Leon	alternative rock,garage rock,indie pop,indie rock,modern rock,neo mellow,rock	0.196	0.437	0.748	0.000328	0.158	0.0689	
Crush	Metaform	ninja,trip hop	0.172	0.806	0.428	0.737	0.105	0.058	
Black & Blue	Miike Snow	alternative dance,indie pop,indie rock,indietronica,modern rock,new rave,shimmer pop,swedish synthpop,synthpop	0.0224	0.668	0.781	0.000242	0.11	0.0305	
Feel The Love (feat. John Newman)	Rudimental	edm,house,liquid funk,pop,tropical house,uk funky	0.0026	0.389	0.706	0.000182	0.686	0.0593	
Somewhereinamerica	JAY Z	east coast hip hop,hip hop,pop rap,rap,southern hip hop,trap music	0.0525	0.743	0.702	0	0.417	0.21	
Down In a Crypt	He Is Legend	christian hardcore,christian metal,dreamo,mathcore,melodic metalcore,metalcore,post-hardcore,progressive post-hardcore,screamo	4.35e-05	0.285	0.959	0.072	0.326	0.155	
Gold Dust (Flux Pavilion Remix)	DJ Fresh	deep groove house,disco house,drum and bass,grime,house,jungle,tropical house	0.00173	0.645	0.808	0.00946	0.265	0.0632	
You & Me - Flume Remix	Flume	aussietronica,australian alternative rock,australian dance,downtempo,tropical house	0.382	0.593	0.392	0.000114	0.131	0.0257	
What About Us	Flume	aussietronica,australian alternative rock,australian dance,downtempo,tropical house	0.0467	0.63	0.699	0.159	0.0688	0.146	
Hyperparadise - Flume Mixtape Version	Flume	aussietronica,australian alternative rock,australian dance,downtempo,tropical house	0.218	0.463	0.722	0	0.0977	0.203	
Dawn Chorus	Boards of Canada	alternative dance,ambient,big beat,electronic,fourth world,indietronica,intelligent dance music,microhouse,new rave,nu jazz,post rock,trip hop,vaporwave	0.00177	0.418	0.686	0.0176	0.863	0.035	
Call It What You Want	Foster The People	alternative dance,indie pop,indie rock,indietronica,la indie,modern rock	0.0483	0.641	0.967	0.000276	0.442	0.0601	
Stay Close	Flume	aussietronica,australian alternative rock,australian dance,downtempo,tropical house	0.00648	0.511	0.49	0.00638	0.278	0.0284	
Insane	Flume	aussietronica,australian alternative rock,australian dance,downtempo,tropical house	0.0505	0.348	0.536	5.97e-05	0.121	0.0454	
Sleepless	Flume	aussietronica,australian alternative rock,australian dance,downtempo,tropical house	0.0446	0.331	0.665	0	0.379	0.0854	
More Than You Thought	Flume	aussietronica,australian alternative rock,australian dance,downtempo,tropical house	0.179	0.547	0.669	0.175	0.383	0.0821	
Animals - Extended	Martin Garrix	big room,edm,progressive house,tropical house	0.00181	0.675	0.866	0.746	0.415	0.039	
Gold (feat. Yuna)	Adventure Club	bass trap,big room,brostep,catstep,chillstep,complextro,edm,electro house,electronic trap,filthstep,moombahton	0.0319	0.479	0.675	0.00536	0.128	0.0413	
Ezra	Flume	aussietronica,australian alternative rock,australian dance,downtempo,tropical house	0.395	0.582	0.544	0.00698	0.173	0.0397	
Starlight	Muse	alternative metal,alternative rock,garage rock,indie rock,modern rock,permanent wave,piano rock,post-grunge,rock	0.000436	0.55	0.874	1.02e-05	0.206	0.0321	
Uprising	Muse	alternative metal,alternative rock,garage rock,indie rock,modern rock,permanent wave,piano rock,post-grunge,rock	0.000202	0.602	0.905	0.064	0.117	0.0775	
Save My Night - Radio Edit	Armin van Buuren	big room,edm,progressive house,progressive trance,trance,tropical house	0.0205	0.66	0.729	0.147	0.0439	0.0514	
Hysteria	Muse	alternative metal,alternative rock,garage rock,indie rock,modern rock,permanent wave,piano rock,post-grunge,rock	0.000456	0.412	0.92	0.0026	0.11	0.0575	
Butterfly	Bassnectar	bass trap,breakbeat,brostep,edm,electro house,electronic trap,glitch hop	0.00246	0.33	0.632	0.155	0.0855	0.0315	
So Close	Kidnap Kid	future garage,house,tropical house	0.411	0.779	0.511	0.235	0.147	0.0424	
Coming of Age	Foster The People	alternative dance,indie pop,indie rock,indietronica,la indie,modern rock	0.0219	0.534	0.955	0.00573	0.322	0.0524	
Misery Business	Paramore	candy pop,emo,modern rock,pixie,pop,pop emo,pop punk	0.00272	0.517	0.906	9.26e-06	0.113	0.0735	
Monster	Paramore	candy pop,emo,modern rock,pixie,pop,pop emo,pop punk	2.87e-05	0.413	0.969	0.000753	0.371	0.119	
Lick The Rainbow	Mord Fustang	catstep,complextro,edm,electro house	0.000182	0.751	0.718	0.0891	0.0592	0.0688	
Milky Way	Mord Fustang	catstep,complextro,edm,electro house	4.48e-05	0.654	0.643	0.875	0.653	0.0504	
Changing	The Airborne Toxic Event	indie pop,indie rock,la indie,metropopolis,modern rock,pop rock,stomp and holler	0.022	0.399	0.912	3.11e-06	0.0885	0.122	
Hell And Back	The Airborne Toxic Event	indie pop,indie rock,la indie,metropopolis,modern rock,pop rock,stomp and holler	0.00331	0.55	0.78	0	0.305	0.0355	
Awake	Electric Guest	alternative dance,indie pop,indie poptimism,indie psych-rock,indie rock,indietronica,la indie,modern rock,shimmer pop,synthpop	0.0206	0.566	0.593	0.0654	0.121	0.0349	
